,source,target,sourcename,targetname
134,34,38,Hánssel Casillas,Alejandro Flores
135,34,39,Hánssel Casillas,Anajosé Aldrete
136,34,40,Hánssel Casillas,Daniel Haddad
137,34,41,Hánssel Casillas,Montserrat Marañón
138,34,42,Hánssel Casillas,Juan Carlos Viana Prieto
139,34,43,Hánssel Casillas,Hernán Del Riego
140,35,36,Loreto Peralta,Andrea Sutton
141,35,37,Loreto Peralta,Luis De La Rosa
142,35,38,Loreto Peralta,Alejandro Flores
143,35,39,Loreto Peralta,Anajosé Aldrete
144,35,40,Loreto Peralta,Daniel Haddad
145,35,41,Loreto Peralta,Montserrat Marañón
146,35,42,Loreto Peralta,Juan Carlos Viana Prieto
147,35,43,Loreto Peralta,Hernán Del Riego
148,36,37,Andrea Sutton,Luis De La Rosa
149,36,38,Andrea Sutton,Alejandro Flores
150,36,39,Andrea Sutton,Anajosé Aldrete
151,36,40,Andrea Sutton,Daniel Haddad
152,36,41,Andrea Sutton,Montserrat Marañón
153,36,42,Andrea Sutton,Juan Carlos Viana Prieto
154,36,43,Andrea Sutton,Hernán Del Riego
155,37,38,Luis De La Rosa,Alejandro Flores
156,37,39,Luis De La Rosa,Anajosé Aldrete
157,37,40,Luis De La Rosa,Daniel Haddad
158,37,41,Luis De La Rosa,Montserrat Marañón
159,37,42,Luis De La Rosa,Juan Carlos Viana Prieto
160,37,43,Luis De La Rosa,Hernán Del Riego
161,38,39,Alejandro Flores,Anajosé Aldrete
162,38,40,Alejandro Flores,Daniel Haddad
163,38,41,Alejandro Flores,Montserrat Marañón
164,38,42,Alejandro Flores,Juan Carlos Viana Prieto
165,38,43,Alejandro Flores,Hernán Del Riego
166,39,40,Anajosé Aldrete,Daniel Haddad
167,39,41,Anajosé Aldrete,Montserrat Marañón
168,39,42,Anajosé Aldrete,Juan Carlos Viana Prieto
169,39,43,Anajosé Aldrete,Hernán Del Riego
170,40,41,Daniel Haddad,Montserrat Marañón
171,40,42,Daniel Haddad,Juan Carlos Viana Prieto
172,40,43,Daniel Haddad,Hernán Del Riego
173,41,42,Montserrat Marañón,Juan Carlos Viana Prieto
174,41,43,Montserrat Marañón,Hernán Del Riego
175,42,43,Juan Carlos Viana Prieto,Hernán Del Riego
176,45,46,Crystal Fox,Phylicia Rashad
177,45,47,Crystal Fox,Cicely Tyson
178,45,48,Crystal Fox,Bresha Webb
179,45,49,Crystal Fox,Mehcad Brooks
180,45,50,Crystal Fox,Adrian Pasdar
181,45,51,Crystal Fox,Tyler Perry
182,46,47,Phylicia Rashad,Cicely Tyson
183,46,48,Phylicia Rashad,Bresha Webb
184,46,49,Phylicia Rashad,Mehcad Brooks
185,46,50,Phylicia Rashad,Adrian Pasdar
186,46,51,Phylicia Rashad,Tyler Perry
187,47,48,Cicely Tyson,Bresha Webb
188,47,49,Cicely Tyson,Mehcad Brooks
189,47,50,Cicely Tyson,Adrian Pasdar
190,47,51,Cicely Tyson,Tyler Perry
191,48,49,Bresha Webb,Mehcad Brooks
192,48,50,Bresha Webb,Adrian Pasdar
193,48,51,Bresha Webb,Tyler Perry
194,49,50,Mehcad Brooks,Adrian Pasdar
195,49,51,Mehcad Brooks,Tyler Perry
196,50,51,Adrian Pasdar,Tyler Perry
197,52,53,Jade Olieberg,Tobias Kersloot
198,52,54,Jade Olieberg,Lisa Smit
199,52,55,Jade Olieberg,Frieda Barnhard
200,52,56,Jade Olieberg,Hans Kesting
201,52,57,Jade Olieberg,Rifka Lodeizen
202,52,58,Jade Olieberg,Robin Boissevain
203,52,59,Jade Olieberg,Jennifer Welts
204,52,60,Jade Olieberg,Steef de Bot
205,52,61,Jade Olieberg,Jip van den Dool
206,52,62,Jade Olieberg,Janni Goslinga
207,52,63,Jade Olieberg,Dennis Rudge
208,52,64,Jade Olieberg,Ian Bok
209,52,65,Jade Olieberg,Roos Dickmann
210,52,66,Jade Olieberg,Minne Koole
211,52,67,Jade Olieberg,Alexander Brouwer
212,53,54,Tobias Kersloot,Lisa Smit
213,53,55,Tobias Kersloot,Frieda Barnhard
214,53,56,Tobias Kersloot,Hans Kesting
215,53,57,Tobias Kersloot,Rifka Lodeizen
216,53,58,Tobias Kersloot,Robin Boissevain
217,53,59,Tobias Kersloot,Jennifer Welts
218,53,60,Tobias Kersloot,Steef de Bot
219,53,61,Tobias Kersloot,Jip van den Dool
220,53,62,Tobias Kersloot,Janni Goslinga
221,53,63,Tobias Kersloot,Dennis Rudge
222,53,64,Tobias Kersloot,Ian Bok
223,53,65,Tobias Kersloot,Roos Dickmann
224,53,66,Tobias Kersloot,Minne Koole
225,53,67,Tobias Kersloot,Alexander Brouwer
226,54,55,Lisa Smit,Frieda Barnhard
227,54,56,Lisa Smit,Hans Kesting
228,54,57,Lisa Smit,Rifka Lodeizen
229,54,58,Lisa Smit,Robin Boissevain
230,54,59,Lisa Smit,Jennifer Welts
231,54,60,Lisa Smit,Steef de Bot
232,54,61,Lisa Smit,Jip van den Dool
233,54,62,Lisa Smit,Janni Goslinga
234,54,63,Lisa Smit,Dennis Rudge
235,54,64,Lisa Smit,Ian Bok
236,54,65,Lisa Smit,Roos Dickmann
237,54,66,Lisa Smit,Minne Koole
238,54,67,Lisa Smit,Alexander Brouwer
239,55,56,Frieda Barnhard,Hans Kesting
240,55,57,Frieda Barnhard,Rifka Lodeizen
241,55,58,Frieda Barnhard,Robin Boissevain
242,55,59,Frieda Barnhard,Jennifer Welts
243,55,60,Frieda Barnhard,Steef de Bot
244,55,61,Frieda Barnhard,Jip van den Dool
245,55,62,Frieda Barnhard,Janni Goslinga
246,55,63,Frieda Barnhard,Dennis Rudge
247,55,64,Frieda Barnhard,Ian Bok
248,55,65,Frieda Barnhard,Roos Dickmann
249,55,66,Frieda Barnhard,Minne Koole
250,55,67,Frieda Barnhard,Alexander Brouwer
251,56,57,Hans Kesting,Rifka Lodeizen
252,56,58,Hans Kesting,Robin Boissevain
253,56,59,Hans Kesting,Jennifer Welts
254,56,60,Hans Kesting,Steef de Bot
255,56,61,Hans Kesting,Jip van den Dool
256,56,62,Hans Kesting,Janni Goslinga
257,56,63,Hans Kesting,Dennis Rudge
258,56,64,Hans Kesting,Ian Bok
259,56,65,Hans Kesting,Roos Dickmann
260,56,66,Hans Kesting,Minne Koole
261,56,67,Hans Kesting,Alexander Brouwer
262,57,58,Rifka Lodeizen,Robin Boissevain
263,57,59,Rifka Lodeizen,Jennifer Welts
264,57,60,Rifka Lodeizen,Steef de Bot
265,57,61,Rifka Lodeizen,Jip van den Dool
266,57,62,Rifka Lodeizen,Janni Goslinga
267,57,63,Rifka Lodeizen,Dennis Rudge
268,57,64,Rifka Lodeizen,Ian Bok
269,57,65,Rifka Lodeizen,Roos Dickmann
270,57,66,Rifka Lodeizen,Minne Koole
271,57,67,Rifka Lodeizen,Alexander Brouwer
272,58,59,Robin Boissevain,Jennifer Welts
273,58,60,Robin Boissevain,Steef de Bot
274,58,61,Robin Boissevain,Jip van den Dool
